показы строки-сайта на запросах, которые есть и у сайта-столбца, %;prokompressor.ru;enger-air.ru;berg-compressor.com;berg-kompressor.ru;remeza-kompressor.ru;meyer-corp.ru;ac-kompressor.ru;zif-kompressor.ru;abac-kompressor.ru;dali-kompressor.ru;ekomak-kompressor.com;crossair-compressor.ru;comaro-kompressor.ru;fini-compressor.com;ironmac-compressor.com;kraftmann-kompressor.com;usort.ru;cmprg.ru;vsefotoseparatory.ru;oil-free.ru;dizel-compressor.ru;ekomak-compressor.com;nsk.prokompressor.ru;barnaul.prokompressor.ru;vladivostok.prokompressor.ru;voronezh.prokompressor.ru;po22.ru
prokompressor.ru;;38,1;17,2;11,2;12,6;0,1;6,6;5,5;3,9;7,9;1,2;5,2;1,9;0,5;1,0;0,3;0,0;0,5;0,0;1,2;4,1;0,3;1,9;2,7;3,1;0,9;2,8
enger-air.ru;73,8;;25,7;11,5;12,2;0,0;4,4;5,1;0,7;10,8;0,8;5,3;2,8;0,4;2,2;0,0;0,0;0,1;0,0;4,4;4,6;0,1;1,1;2,1;2,0;0,6;0,1
berg-compressor.com;77,9;22,4;;72,0;8,2;0,1;0,8;1,9;0,4;2,4;0,2;5,7;0,2;0,4;0,6;0,1;0,0;0,3;0,0;0,8;0,1;0,0;1,9;2,2;0,8;0,5;0,0
berg-kompressor.ru;67,3;12,8;78,3;;3,6;0,0;1,8;3,2;1,0;0,7;0,8;2,0;2,2;0,0;0,0;0,0;0,1;0,1;0,0;0,8;0,9;0,0;2,9;4,6;1,6;0,0;0,0
remeza-kompressor.ru;66,7;5,0;3,1;3,4;;0,0;0,2;0,1;0,1;0,2;0,1;0,4;0,0;0,1;0,3;0,1;0,0;0,0;0,0;0,9;2,8;0,0;2,0;2,7;1,9;0,0;0,1
meyer-corp.ru;1,5;0,1;0,4;0,0;0,0;;1,3;0,0;0,3;0,1;0,0;0,1;0,0;0,0;0,1;0,0;19,7;0,1;22,6;0,0;1,2;0,0;0,0;0,1;0,0;0,0;0,0
ac-kompressor.ru;63,3;6,9;1,3;1,5;2,0;1,1;;0,7;0,8;1,0;0,1;0,3;0,1;0,2;0,2;0,0;0,0;0,6;0,0;1,9;11,1;0,0;4,8;2,5;1,9;0,3;0,0
zif-kompressor.ru;83,0;8,2;1,7;12,8;0,5;0,2;2,2;;0,2;4,7;0,1;1,0;0,1;0,2;0,2;0,0;0,0;0,3;0,0;0,1;14,6;0,0;0,7;13,4;0,4;0,0;0,0
abac-kompressor.ru;60,0;1,5;0,9;0,1;0,1;0,1;0,1;0,1;;0,2;0,0;0,1;0,1;0,6;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,7;6,3;1,9;1,1;0,0;0,0
dali-kompressor.ru;80,8;10,8;2,2;2,0;1,0;0,2;0,6;3,4;0,9;;0,3;15,6;2,0;0,3;0,4;0,0;0,0;0,3;0,0;0,2;23,5;0,0;2,0;3,0;2,5;0,0;0,0
ekomak-kompressor.com;77,7;0,5;0,2;0,5;0,4;0,0;0,1;0,1;0,1;0,4;;0,1;0,2;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,0;68,4;2,6;1,9;1,6;0,0;0,0
crossair-compressor.ru;72,6;7,2;4,6;0,6;1,5;0,3;0,8;0,6;0,3;57,0;0,1;;0,3;0,3;0,8;0,0;0,0;0,3;0,0;0,5;11,2;0,0;3,5;0,0;0,0;0,0;0,0
comaro-kompressor.ru;80,3;15,1;1,4;7,5;0,1;0,0;0,6;0,2;1,0;6,1;1,5;1,5;;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;1,3;16,1;4,7;0,0;0,0
fini-compressor.com;44,9;2,2;0,5;0,1;0,1;0,1;0,2;0,2;0,5;0,4;0,0;0,2;0,0;;0,2;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,0;0,0;0,1;0,0;0,0
ironmac-compressor.com;72,5;3,4;1,1;0,1;0,6;0,4;0,6;0,4;0,4;1,0;0,0;1,7;0,0;0,4;;0,0;0,0;0,4;0,0;0,2;0,5;0,0;0,0;0,4;0,0;0,0;0,0
kraftmann-kompressor.com;80,0;0,2;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;3,8;4,5;0,0
usort.ru;0,6;0,2;0,2;0,3;0,0;70,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;41,2;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0
cmprg.ru;69,9;2,4;1,5;0,6;0,6;0,6;1,6;1,6;1,3;1,5;0,2;1,1;1,0;0,5;0,6;0,0;0,0;;0,0;0,3;3,4;0,0;0,3;0,3;36,0;0,0;0,0
vsefotoseparatory.ru;0,2;0,1;0,0;0,0;0,0;78,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;65,6;0,0;;0,2;0,1;0,0;0,0;0,0;0,0;0,0;0,0
oil-free.ru;70,4;65,8;6,2;1,8;8,9;0,1;15,6;0,2;0,2;4,7;0,3;4,4;0,0;0,1;0,2;0,0;0,0;0,2;0,2;;4,7;1,0;2,4;2,2;0,2;0,0;0,0
