сайт A;сайт B;запросов A;запросов B;общих запросов;коэф перекрытия %;Жаккар %;доля показов A на общих %;доля показов B на общих %;показов на общих запросах
prokompressor.ru;enger-air.ru;64532;36408;7484;20.56;8.01;38.07;73.79;390465
prokompressor.ru;berg-compressor.com;64532;7826;1790;22.87;2.54;17.23;77.88;169720
berg-compressor.com;berg-kompressor.ru;7826;4787;1763;36.83;16.25;72.02;78.28;108569
meyer-corp.ru;usort.ru;9609;2933;1689;57.59;15.56;19.72;70.02;11030
prokompressor.ru;ac-kompressor.ru;64532;8185;1590;19.43;2.24;6.59;63.32;56228
prokompressor.ru;remeza-kompressor.ru;64532;6297;1399;22.22;2.01;12.56;66.75;99008
enger-air.ru;berg-compressor.com;36408;7826;1079;13.79;2.50;25.73;22.43;85548
prokompressor.ru;dali-kompressor.ru;64532;3602;1059;29.40;1.58;7.92;80.77;64502
prokompressor.ru;crossair-compressor.ru;64532;3457;971;28.09;1.45;5.23;72.60;40808
prokompressor.ru;berg-kompressor.ru;64532;4787;929;19.41;1.36;11.24;67.34;94483
prokompressor.ru;dizel-compressor.ru;64532;868;642;73.96;0.99;4.06;85.54;24101
meyer-corp.ru;vsefotoseparatory.ru;9609;963;541;56.18;5.39;22.60;78.86;10120
prokompressor.ru;zif-kompressor.ru;64532;1889;522;27.63;0.79;5.48;83.04;54931
usort.ru;vsefotoseparatory.ru;2933;963;520;54.00;15.40;41.22;65.58;4650
prokompressor.ru;fini-compressor.com;64532;3231;506;15.66;0.75;0.47;44.92;7546
prokompressor.ru;oil-free.ru;64532;547;426;77.88;0.66;1.19;70.45;8116
enger-air.ru;ac-kompressor.ru;36408;8185;400;4.89;0.91;4.39;6.95;13090
enger-air.ru;dali-kompressor.ru;36408;3602;383;10.63;0.97;10.76;10.77;29503
dali-kompressor.ru;crossair-compressor.ru;3602;3457;362;10.47;5.41;15.57;56.97;13759
enger-air.ru;berg-kompressor.ru;36408;4787;356;7.44;0.87;11.55;12.78;34913
enger-air.ru;remeza-kompressor.ru;36408;6297;345;5.48;0.81;12.17;5.03;32450
enger-air.ru;oil-free.ru;36408;547;327;59.78;0.89;4.40;65.81;12439
prokompressor.ru;abac-kompressor.ru;64532;2760;315;11.41;0.47;3.93;60.02;39381
prokompressor.ru;nsk.prokompressor.ru;64532;437;299;68.42;0.46;1.89;80.38;11629
prokompressor.ru;barnaul.prokompressor.ru;64532;460;259;56.30;0.40;2.69;73.32;15787
ac-kompressor.ru;dizel-compressor.ru;8185;868;252;29.03;2.86;11.11;40.82;4485
prokompressor.ru;comaro-kompressor.ru;64532;1191;238;19.98;0.36;1.91;80.33;23292
prokompressor.ru;vladivostok.prokompressor.ru;64532;262;228;87.02;0.35;3.15;92.43;18426
enger-air.ru;dizel-compressor.ru;36408;868;226;26.04;0.61;4.61;41.52;12377
enger-air.ru;crossair-compressor.ru;36408;3457;222;6.42;0.56;5.26;7.25;14257
prokompressor.ru;ekomak-kompressor.com;64532;1483;196;13.22;0.30;1.22;77.69;20297
prokompressor.ru;ironmac-compressor.com;64532;957;192;20.06;0.29;1.02;72.46;10661
enger-air.ru;fini-compressor.com;36408;3231;176;5.45;0.45;0.45;2.20;1355
ekomak-kompressor.com;ekomak-compressor.com;1483;255;161;63.14;10.21;68.37;90.99;13622
prokompressor.ru;cmprg.ru;64532;881;151;17.14;0.23;0.48;69.88;6604
enger-air.ru;zif-kompressor.ru;36408;1889;140;7.41;0.37;5.09;8.24;15098
