сайт;запросов;показов;кликов;уникальные показы %;уникальные клики %;показы вторым номером %;запросов вторым номером;главный сосед;показов пересечено с ним %
prokompressor.ru;64532;545433;6106;42,6;59,2;29,5;1807;enger-air.ru;38,1
enger-air.ru;36408;247773;3025;25,0;37,5;17,8;543;prokompressor.ru;73,8
berg-compressor.com;7826;97218;15494;9,0;7,2;31,6;358;prokompressor.ru;77,9
berg-kompressor.ru;4787;49257;1795;13,9;76,3;55,9;318;berg-compressor.com;78,3
remeza-kompressor.ru;6297;45710;664;32,3;69,1;18,0;170;prokompressor.ru;66,7
meyer-corp.ru;9609;33744;1052;68,7;58,8;4,3;25;vsefotoseparatory.ru;22,6
ac-kompressor.ru;8185;31993;613;35,4;49,3;35,8;155;prokompressor.ru;63,3
zif-kompressor.ru;1889;30132;220;15,9;33,6;20,2;91;prokompressor.ru;83,0
abac-kompressor.ru;2760;29923;254;39,1;67,3;6,5;15;prokompressor.ru;60,0
dali-kompressor.ru;3602;26345;465;16,7;33,3;15,6;80;prokompressor.ru;80,8
ekomak-kompressor.com;1483;17545;283;19,1;23,3;19,8;22;prokompressor.ru;77,7
crossair-compressor.ru;3457;16948;583;24,3;30,5;38,0;72;prokompressor.ru;72,6
comaro-kompressor.ru;1191;16021;109;19,0;37,6;24,8;55;prokompressor.ru;80,3
fini-compressor.com;3231;11107;317;53,3;89,0;2,8;14;prokompressor.ru;44,9
ironmac-compressor.com;957;7069;90;27,0;41,1;30,0;24;prokompressor.ru;72,5
kraftmann-kompressor.com;753;6336;97;19,2;67,0;9,5;12;prokompressor.ru;80,0
usort.ru;2933;6247;306;25,3;48,4;27,9;42;meyer-corp.ru;70,0
cmprg.ru;881;5733;96;27,5;76,0;16,8;9;prokompressor.ru;69,9
vsefotoseparatory.ru;963;3164;87;13,7;24,1;36,8;15;meyer-corp.ru;78,9
oil-free.ru;547;2328;18;17,1;27,8;44,3;35;prokompressor.ru;70,4
dizel-compressor.ru;868;2276;19;9,0;10,5;34,4;30;prokompressor.ru;85,5
ekomak-compressor.com;255;1787;60;5,0;6,7;76,7;27;ekomak-kompressor.com;91,0
nsk.prokompressor.ru;437;1646;7;11,1;42,9;31,3;18;prokompressor.ru;80,4
barnaul.prokompressor.ru;460;1514;35;17,7;25,7;17,8;11;prokompressor.ru;73,3
vladivostok.prokompressor.ru;262;1374;4;4,7;25,0;16,8;13;prokompressor.ru;92,4
voronezh.prokompressor.ru;41;210;4;24,8;100,0;31,0;3;prokompressor.ru;70,5
po22.ru;37;125;1;83,2;100,0;0,0;0;prokompressor.ru;16,0
