из топ-15 сайта-строки встречается у сайта-столбца;prokompressor.ru;enger-air.ru;berg-compressor.com;berg-kompressor.ru;remeza-kompressor.ru;meyer-corp.ru;ac-kompressor.ru;zif-kompressor.ru;abac-kompressor.ru;dali-kompressor.ru;ekomak-kompressor.com;crossair-compressor.ru;comaro-kompressor.ru;fini-compressor.com;ironmac-compressor.com;kraftmann-kompressor.com;usort.ru;cmprg.ru;vsefotoseparatory.ru;oil-free.ru;dizel-compressor.ru;ekomak-compressor.com;nsk.prokompressor.ru;barnaul.prokompressor.ru;vladivostok.prokompressor.ru;voronezh.prokompressor.ru;po22.ru
prokompressor.ru;·;13;9;4;9;;2;3;1;3;2;2;;;;;;;;;;;;1;1;1;1
enger-air.ru;15;·;8;4;5;;1;3;;5;;2;1;;;;;;;1;3;;1;1;1;1;
berg-compressor.com;12;1;·;14;1;;;;;;;;;;;;;;;;;;;;;;
berg-kompressor.ru;11;;13;·;;;;;;;;;;;;;;;;;;;;;;;
remeza-kompressor.ru;15;1;1;1;·;;;;;;;;;;;;;;;;2;;1;1;1;;
meyer-corp.ru;;;;;;·;;;;;;;;;;;3;;6;;;;;;;;
ac-kompressor.ru;14;;;;1;;·;;;;;;;;;;;;;;4;;2;1;;;
zif-kompressor.ru;15;1;;1;;;1;·;;1;;;;;;;;;;;2;;;2;;;
abac-kompressor.ru;12;;;;;;;;·;;;;;;;;;;;;;;2;;1;;
dali-kompressor.ru;15;;;;;;;;;·;;;;;;;;;;;4;;;1;;;
ekomak-kompressor.com;15;;;;;;;;;;·;;;;;;;;;;;13;;;;;
crossair-compressor.ru;15;;;;;;;;;15;;·;;;;;;;;;4;;1;;;;
comaro-kompressor.ru;13;1;;;;;;;;1;;;·;;;;;;;;;;;1;1;;
fini-compressor.com;9;;;;;;;;;;;;;·;;;;;;;;;;;;;
ironmac-compressor.com;13;;;;;;;;;;;;;;·;;;;;;;;;;;;
kraftmann-kompressor.com;15;;;;;;;;;;;;;;;·;;;;;;;;;1;1;
usort.ru;;;;;;14;;;;;;;;;;;·;;12;;;;;;;;
cmprg.ru;12;;;;;;;;;;;;;;;;;·;;;;;;;8;;
vsefotoseparatory.ru;;;;;;14;;;;;;;;;;;11;;·;;;;;;;;
oil-free.ru;10;10;1;;2;;2;;;2;;1;;;;;;;;·;;;1;;;;
