запрос;показов Яндекса;сайт;целевая страница плана;страница, которую показывает Яндекс;её позиция;её показы
винтовой компрессор;1878;prokompressor.ru;/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/vintovye_1;/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye;17.5;245
винтовой компрессор berg;1710;prokompressor.ru;/catalog/vozdushnye-kompressory/po-tipu/vintovye;/catalog/vozdushnye-kompressory/berg;29.5;2
компрессорная установка винтовая;1254;berg-compressor.com;/catalog/kompressory-s-pryamym-privodom;/catalog/kompressory-s-resiverom-i-osushitelem;24.3;23
компрессор низкого давления;1167;prokompressor.ru;/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye;/catalog/vozdushnye-kompressory/po-tipu/nizkogo-davleniya/airpol;19.6;190
компрессор atlas copco;1106;ac-kompressor.ru;/catalog/vintovye-kompressory;/catalog/kompressory-ga;11.1;95
компрессор винтовой воздушный;877;enger-air.ru;/catalog/2_kh_stupenchatye_vintovye_kompressory;/catalog/vintovye_kompressory;21.2;38
компрессоры для производства;837;prokompressor.ru;/catalog/vozdushnye-kompressory/po-tipu/vintovye;/catalog/vozdushnye-kompressory/po-naznacheniyu;16.0;100
винтовые компрессоры berg;785;berg-compressor.com;/catalog/kompressory-s-pryamym-privodom;/catalog/vintovye-kompressory;4.0;1
купить винтовой компрессор;617;berg-compressor.com;/catalog/kompressory-s-pryamym-privodom;/catalog/vintovye-kompressory;16.1;115
иукп;597;berg-compressor.com;/catalog/kompressory-s-pryamym-privodom;/catalog;9.6;76
компрессор производственный;522;prokompressor.ru;/catalog/vozdushnye-kompressory/promyshlennye;/catalog/vozdushnye-kompressory/po-naznacheniyu/dlya-tsekha;21.8;22
atlas copco xas дизельный компрессор;513;prokompressor.ru;/catalog/vozdushnye-kompressory/po-tipu/vintovye/dizelnye;/catalog/dizelnyy-kompressor-atlas-copco-xas-97-dd;10.0;5
дизельный компрессор atlas;506;ac-kompressor.ru;/catalog/xas;/catalog/dizelnye-kompressory-do-8-bar/kompressor-vintovoy-atlas-copco-u-175-kd-bez-shassi;8.6;109
винтовые компрессоры;499;enger-air.ru;/catalog/2_kh_stupenchatye_vintovye_kompressory;/catalog/vintovye_kompressory;26.8;16
зиф;497;zif-kompressor.ru;/catalog/dizelnye-kompressory;/catalog;13.3;129
berg вк 15;496;berg-compressor.com;/catalog/vintovye-kompressory;/catalog/vintovye-kompressory/vk-15-12;7.6;12
компрессоры atlas copco;468;ac-kompressor.ru;/catalog/vintovye-kompressory;/catalog/porshnevye-kompressory;9.0;4
компрессор на ресивере;463;prokompressor.ru;/catalog/resivery;/catalog/vozdushnye-kompressory/po-komplektatsii/s-resiverom;17.5;101
передвижной компрессор;461;enger-air.ru;/catalog/peredvizhnye-kompressory;/catalog/peredvizhnye-kompressory/dizelnye-kompressory;9.7;208
винтовой компрессор 5000 л мин;446;prokompressor.ru;/catalog/vozdushnye-kompressory/kompressory-5000-l-min;/catalog/vozdushnye-kompressory/po-tipu/vintovye/5000-to-5000;16.4;244
