Модель;Slug;URL;H1;Title;Description;Файл;Слов
Opus 4.8;15-to-15;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/15-to-15/;Электрические винтовые компрессоры 15 кВт;Электрические винтовые компрессоры 15 кВт: цены от 185 043 ₽, доставка по России;Электрические винтовые компрессоры на 15 кВт: давление 8–13 бар, ресиверы 140–1000 л, бренды Enger, DALGAKIRAN, ALMiG, BERG. Доставка по России.;OSNOVNOY-OPUS-4-8/VSTAVIT-V-BITRIKS-el-15-to-15.html;632
Opus 4.8;berg;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/berg/;Винтовые электрические компрессоры BERG;Электрические винтовые компрессоры BERG — 594 модели и исполнения, купить от 159 755 ₽;Электрические винтовые компрессоры BERG: серия ВК на 7–16 бар, мощность 2,2–500 кВт, производительность до 93 м³/мин. Прямой и ременной привод, доставка по РФ.;OSNOVNOY-OPUS-4-8/VSTAVIT-V-BITRIKS-el-berg.html;669
Opus 4.8;dalgakiran;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/dalgakiran/;Электрические винтовые компрессоры DALGAKIRAN;Электрические винтовые компрессоры Dalgakiran — 1119 моделей и исполнений, купить от 354 691 ₽;Электрические винтовые компрессоры Dalgakiran: серии F, TIDY-N, IMPETUS, давление 4–20 бар, ресивер до 1000 л, версии с частотником и осушителем. Доставка по РФ.;OSNOVNOY-OPUS-4-8/VSTAVIT-V-BITRIKS-el-dalgakiran.html;622
Opus 4.8;enger;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/enger/;Электрические винтовые компрессоры Enger;Электрические винтовые компрессоры Enger — 2268 моделей и исполнений, купить от 98 841 ₽;Электрические винтовые компрессоры Enger: винтовые блоки BAOSI и HANBELL, давление 4–30 бар, мощность 2,2–500 кВт, частотный привод. Доставка по РФ.;OSNOVNOY-OPUS-4-8/VSTAVIT-V-BITRIKS-el-enger.html;663
Opus 4.8;s-chastotnym-preobrazovatelem;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-chastotnym-preobrazovatelem/;Электрические винтовые компрессоры с частотным преобразователем;Электрические винтовые компрессоры с частотным преобразователем — купить от 98 841 ₽;Электрические винтовые компрессоры с частотным преобразователем: мощность от 2,2 кВт, давление 8–13 бар, привод INOVANCE, серии HJ и K-MAX. Доставка по РФ.;OSNOVNOY-OPUS-4-8/VSTAVIT-V-BITRIKS-el-s-chastotnym-preobrazovatelem.html;605
Sonnet 5;15-to-15;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/15-to-15/;Электрические винтовые компрессоры 15 кВт;Электрические винтовые компрессоры 15 кВт — купить от 185 043 ₽ с доставкой;Электрические винтовые компрессоры 15 кВт: давление 6–30 бар, ресивер 140–1000 л, исполнения с частотным приводом и осушителем. Доставка по всей России.;SRAVNENIE-SONNET-5/sonnet-el-15-to-15.html;574
Sonnet 5;berg;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/berg/;Винтовые электрические компрессоры BERG;Электрические винтовые компрессоры BERG — 594 модели и исполнения, купить от 159 755 ₽;Электрические винтовые компрессоры BERG: давление 7–16 бар, мощность 2,2–500 кВт, ременной и прямой привод, с частотником и без. Доставка по РФ.;SRAVNENIE-SONNET-5/sonnet-el-berg.html;645
Sonnet 5;dalgakiran;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/dalgakiran/;Электрические винтовые компрессоры DALGAKIRAN;Электрические винтовые компрессоры Dalgakiran — 1119 моделей и исполнений, купить от 354 691 ₽;Электрические винтовые компрессоры Dalgakiran: давление 4–20 бар, серии F, TIDY-N, IMPETUS с частотным приводом и осушителем. Доставка по РФ.;SRAVNENIE-SONNET-5/sonnet-el-dalgakiran.html;602
Sonnet 5;enger;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/enger/;Электрические винтовые компрессоры Enger;Электрические винтовые компрессоры Enger — 2268 моделей и исполнений, купить от 98 841 ₽;Винтовые компрессоры Enger: давление 4–30 бар, производительность до 93000 л/мин, серии BS, HJ, HB, HBD, заводская гарантия до 5 лет. Доставка по РФ.;SRAVNENIE-SONNET-5/sonnet-el-enger.html;634
Sonnet 5;s-chastotnym-preobrazovatelem;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu/vintovye/elektricheskie_1/s-chastotnym-preobrazovatelem/;Электрические винтовые компрессоры с частотным преобразователем;Электрические винтовые компрессоры с частотным преобразователем — купить от 98 841 ₽;Электрические винтовые компрессоры с частотным преобразователем: давление 1,5–30 бар, мощность 2,2–500 кВт, производительность до 93 м³/мин. Доставка по РФ.;SRAVNENIE-SONNET-5/sonnet-el-s-chastotnym-preobrazovatelem.html;637
