Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
Винтовой компрессор Enger LC-11DFR-500 16;paste_from_serp;model_not_found;0;site;20;LC-11DFR отсутствует, показаны LC-11DFRE/DTRE;Винтовой компрессор Enger LC-11DFRE-500 16 | Винтовой компрессор Enger LC-11DTRE-500 16 | Винтовой компрессор Enger LC-15DFRE-500 16
купить компрессорное оборудование;paste_from_serp;wrong_top;1;webmaster;20;В топе масла и генераторы азота, а не компрессоры;"Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное &quot;Rarus Mobil 425&quo | Масло компрессорное &quot;Rarus Mobill 427&qu"
купить компрессор;paste_from_serp;wrong_top;1;webmaster;20;в топе устаревшие советские модели 1А, не популярные для покупки;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
компрессор воздушный винтовой купить;paste_from_serp;wrong_top;1;webmaster;20;дизельные в топе вместо электрических;Винтовой компрессор DAS DPK 5200 D | Дизельный винтовой компрессор DAS DPK 7200 D  | Винтовой компрессор DAS DPK 9000 D
компрессорное оборудование купить;paste_from_serp;wrong_top;1;webmaster;20;в топе масла и генераторы азота вместо компрессоров;"Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное &quot;Rarus Mobil 425&quo | Масло компрессорное &quot;Rarus Mobill 427&qu"
ресивер для компрессора купить;paste_from_serp;wrong_top;1;webmaster;20;показаны компрессоры на ресивере, а не отдельные ресиверы;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти
осушитель для компрессора купить;paste_from_serp;wrong_top;1;webmaster;20;показаны компрессоры с осушителем вместо самих осушителей;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш
компрессор купить;paste_from_serp;wrong_top;1;webmaster;20;Показывает устаревшие модели 1А вместо популярных;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
купить азотную установку;paste_from_serp;wrong_top;0;webmaster;20;Показывает дизельные компрессоры вместо генераторов азота;Дизельный компрессор ATLAS COPCO Y 35 | Компрессор дизельный ZEGA SPDB175S-7 | Дизельный передвижной компрессор Enger DC-20/
воздушный компрессор для лазерного станка;paste_from_serp;wrong_top;1;webmaster;20;Не понятно почему именно эти модели для лазера;Винтовой компрессор ZEGA SELD 22-20 | Винтовой компрессор ZEGA SELD 37-20 | Винтовой компрессор Enger LC-30DFRE 30
