Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
Cross Air Borey 55;model;wrong_top;1;site;4;в топ попали Borey 550 и нерелевантный CA/D(OS)-5,0/8 вместо других Borey 55;Дизельный передвижной компрессор Cross Air Bo | Дизельный стационарный компрессор Cross Air B | Дизельный стационарный компрессор Cross Air B
Atlas Copco XAS 88;model;wrong_top;1;site;5;только 1 точное совпадение XAS 88, остальные 4 позиции — другие модели серии XAS;Дизельный компрессор ATLAS COPCO XAS 88 Kd | Дизельный компрессор ATLAS COPCO XAS 38 Kd | Дизельный компрессор ATLAS COPCO XAS 47 Dd
Cross Air CA 22;model;wrong_top;1;site;20;CA220 примешивается в выдачу как подстрока «22», размывая топ;Винтовой компрессор Cross Air CA22-8GA | Винтовой компрессор Cross Air CA220-8GA | Винтовой компрессор Cross Air CA22-10GA
Ironmac IC 50;model;wrong_top;1;site;20;в топ-8 попали IC 10/10 и IC 20/16, не относящиеся к серии IC 50;Винтовой компрессор Ironmac IC 50/10 C | Винтовой компрессор Ironmac IC 50/10 C VSD | Винтовой компрессор Ironmac IC 50/10 C VSD, I
Ironmac IC 20 16;model;wrong_top;1;site;12;С5-й позиции идут IC 220 и IC 120 — нерелевантные модели вместо IC 20/16;Винтовой компрессор Ironmac IC 20/16 C | Винтовой компрессор Ironmac IC 20/16 C DF 500 | Винтовой компрессор IRONMAC IC 20/16 DF VX 50
ресивер;category;wrong_top;0;site;20;Топ полностью из компрессоров «на ресивере» — отдельные ресиверы не всплывают;Винтовой компрессор ZUV – 7.5 BRD 8 бар ремен | Винтовой компрессор ZUV – 7.5 BRD 10 бар реме | Винтовой компрессор ZUV – 7.5 BRD 13 бар реме
Atlas Copco XAHS 186;model;wrong_top;1;site;2;Всего 2 результата, второй — другая модель XAHS 347;Дизельный компрессор ATLAS COPCO XAHS 186 Dd | Дизельный компрессор ATLAS COPCO XAHS 347 Cd
et SD 185;model;wrong_top;1;site;13;После 2 верных ET SD-185 топ засорён нерелевантными Dalgakiran IMPETUS 75;Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors  | Винтовой компрессор Dalgakiran IMPETUS 75W-10
Ironmac IC 60;model;wrong_top;1;site;20;В топ-8 затесались IC 7,5 — нерелевантная серия;Винтовой компрессор Ironmac IC 60/10 B | Винтовой компрессор Ironmac IC 60/10 C | Винтовой компрессор Ironmac IC 60/10 C VSD, I
Atlas Copco U 175;model;wrong_top;1;site;20;Только 1 точный результат, остальные — посторонние модели AIRBOX и GA/G-серии;Дизельный компрессор ATLAS COPCO U 175 Kd (бе | Винтовой компрессор AIRBOX ADS 175-7 (без шас | Винтовой компрессор AIRBOX ADS 175-7 (на шасс
компрессор;category;wrong_top;1;site;20;Весь топ-8 занят одной малоизвестной серией 1А, нет диверсификации по брендам и типам;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
Ironmac IC;model;wrong_top;1;site;20;Топ-8 целиком из IC 100, вся остальная линейка серии IC не представлена;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
Atlas Copco XAS 67;model;wrong_top;1;site;3;Только 1 точный результат (XAS 67), 2 позиции — другие модели XAS 127/137;Дизельный компрессор ATLAS COPCO XAS 67 Dd | Дизельный компрессор ATLAS COPCO XAS 127 Kd C | Дизельный компрессор ATLAS COPCO XAS 137 Kd
DALGAKIRAN DVK;model;wrong_top;1;site;20;весь топ-8 занят DVK 100, модели DVK 60 / 75 / 125 уходят вниз;Винтовой компрессор Dalgakiran DVK 100-10 | Винтовой компрессор Dalgakiran DVK 100-10 ID  | Винтовой компрессор Dalgakiran DVK 100-13
DLCY 15;model;wrong_top;1;site;12;DLCY-11/15 (15 бар давления) примешаны к DLCY-15 в топе;Дизельный винтовой компрессор Dali DLCY-15/13 | Дизельный винтовой компрессор Dali DLCY-15/13 | Дизельный винтовой компрессор Dali DLCY-15/15
