Запрос;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
kompressor;empty_but_should;0;webmaster;1;показана только запчасть вместо компрессоров;"Сепаратор &quot;ALMIG&quot; 572.11105 (оригин"
винтовые ременные компрессоры;empty_but_should;0;webmaster;0;нет результатов по ременным компрессорам;
безмасляный воздушный компрессор купить;empty_but_should;0;webmaster;0;пустая выдача при наличии безмасляных компрессоров в ассортименте;
модульные компрессорные станции;empty_but_should;0;webmaster;0;нет результатов по модульным станциям;
купить поршневой компрессор;empty_but_should;0;webmaster;0;пустая выдача по базовой категории товаров;
винтовые безмасляные компрессоры купить;empty_but_should;0;webmaster;0;нет результатов по безмасляным;
безмасляный компрессор купить;empty_but_should;0;webmaster;0;нет результатов по профильному запросу;
безмасляные компрессоры купить;empty_but_should;0;webmaster;0;нет результатов по профильному запросу;
азотное оборудование;empty_but_should;0;webmaster;0;нет результатов по генераторам азота;
оборудование для производства кислорода;empty_but_should;0;webmaster;0;нет результатов по генераторам кислорода;
безмасляный винтовой компрессор купить;empty_but_should;0;webmaster;0;нет безмасляных или не индексированы;
компрессор воздушный дизельный передвижной купить цена;empty_but_should;0;webmaster;0;Пустая выдача при наличии товара;
компрессор поршневой воздушный купить;empty_but_should;0;webmaster;0;нет результатов по поршневым;
компрессор промышленный купить;empty_but_should;0;webmaster;0;пусто по общему запросу;
компрессор дизельный передвижной цена;empty_but_should;0;webmaster;0;пусто, хотя дизельные есть;
купить промышленный винтовой компрессор;empty_but_should;0;webmaster;0;пустая выдача по базовому запросу;
винтовой компрессор для пескоструя купить;empty_but_should;0;webmaster;0;пустая выдача по валидному запросу;
центробежные компрессоры цена;empty_but_should;0;webmaster;0;нет центробежных в ассортименте;
винтовой компрессор для пескоструя;empty_but_should;0;webmaster;0;нет результатов по применению;
винтовые компрессоры профессиональные;empty_but_should;0;webmaster;0;нет результатов по общему запросу;
компрессор поршневой купить;empty_but_should;0;webmaster;0;нет выдачи по базовой категории;
купить промышленный компрессор;empty_but_should;0;webmaster;0;пустая выдача на ключевой запрос;
купить безмасляный компрессор;empty_but_should;0;webmaster;0;пустая выдача по востребованному типу;
осушитель сжатого воздуха для компрессора купить;empty_but_should;0;webmaster;0;пустая выдача, хотя осушители есть в каталоге;
купить осушитель сжатого воздуха;empty_but_should;0;webmaster;0;пустая выдача при наличии осушителей;
купить воздушный компрессор винтовой промышленный;empty_but_should;0;webmaster;0;пустая выдача по базовому запросу;
поршневой компрессор купить;empty_but_should;0;webmaster;0;пусто, должны быть поршневые;
купить безмасляный поршневой компрессор;empty_but_should;0;webmaster;0;пусто, должны быть безмасляные поршневые;
компрессор воздушный безмасляный купить;empty_but_should;0;webmaster;0;нет результатов по безмасляным компрессорам;
купить винтовые воздушные компрессоры;empty_but_should;0;webmaster;0;пустая выдача по основной категории;
винтовой компрессор 15 квт купить;empty_but_should;0;webmaster;0;пустая выдача по стандартной мощности;
купить компрессор промышленный;empty_but_should;0;webmaster;0;пустая выдача по основному запросу;
купить компрессор безмасляный воздушный;empty_but_should;0;webmaster;0;нет выдачи по безмасляным компрессорам;
Atlas Copco GA 75;model_not_found;0;site;20;Нашёл давление 7.5 бар вместо модели GA 75;Винтовой компрессор ATLAS COPCO GA 110 /7,5 | Винтовой компрессор Atlas Copco GA 15+ 7,5FF/ | Винтовой компрессор Atlas Copco GA 22+ 7,5P/4
BERG ВК-18;model_not_found;1;site;20;нет ВК-18, показан ВК-18.5;Винтовой компрессор BERG ВК-18.5РО-500 16 бар | Винтовой компрессор BERG ВК-18.5Р 16 бар | Винтовой компрессор BERG ВК-18.5РЕ 16 бар
et ofs 5;model_not_found;1;site;20;нет точной модели OFS 5;Спиральный компрессор ET OFS 44/5,5 belt 10 | Спиральный компрессор ET OFS 5,5-200 PM ES 10 | Спиральный компрессор ET OFS 22/5,5 belt 10
винтовой компрессор 15 бар;model_not_found;1;webmaster;20;нет моделей на 15 бар в топе;Винтовой компрессор BERG ВК-15 7 бар | Винтовой компрессор BERG ВК-15 12 бар | Винтовой компрессор BERG ВК-15 10 бар
поршневой компрессор abac;model_not_found;0;webmaster;20;показана другая марка вместо ABAC;Поршневой компрессор REMEZA КМ-100.OLD20ТK | Поршневой компрессор REMEZA КМ-100.OLD15ТД | Поршневой компрессор REMEZA КМ-100.OLD20Т
компрессор поршневой abac;model_not_found;0;webmaster;20;бренд ABAC отсутствует в выдаче;Компрессор поршневой дожимной (бустер) Remeza | Компрессор поршневой дожимной (бустер) Remeza | Компрессор поршневой дожимной (бустер) Remeza
компрессор 86 квт с осушителем;model_not_found;0;webmaster;20;нет компрессоров 86 кВт в топе;Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш | Винтовой компрессор REMEZA ВК60Р-7,5ДВС (с ос | Винтовой компрессор безмасляный AC ZR 500 8,6
винтовой компрессор 15 атм;model_not_found;0;webmaster;20;нет моделей на 15 бар;Винтовой компрессор MIG 15 8 бар | Винтовой компрессор MIG 15 10 бар | Винтовой компрессор MIG К 15 10 бар
atlas cd 250;model_not_found;1;site;13;нет Atlas Copco CD 250, показаны другие модели;Дизельный компрессор ATLAS COPCO XRVS 476 Cd | Дизельный компрессор ATLAS COPCO XRVS 336 Cd | Дизельный компрессор ATLAS COPCO XRVS 487 Cd
Винтовой компрессор Enger LC-11DFR-500 16;model_not_found;1;site;1;Найден LC-11DFRE вместо запрошенного LC-11DFR;Винтовой компрессор Enger LC-11DFRE-500 16
компрессор 25 литров;out_of_scope;0;webmaster;20;бытовые компрессоры вне ассортимента;Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors 
винтовой компрессор ременной привод;too_few;1;webmaster;20;тип привода не указан явно;Винтовой компрессор AIRRUS 15 15 бар | Винтовой компрессор AIRRUS 11 8 бар | Винтовой компрессор AIRRUS 30 8 бар
компрессор воздушный берг;too_few;1;webmaster;20;Только дизельные, нет винтовых Berg;Компрессор дизельный BERG М-17-13 | Компрессор дизельный BERG М-25-23 | Компрессор дизельный BERG М-13-13
компрессор с асинхронным двигателем;too_few;1;webmaster;20;показаны только Dali, слишком узко;Двухступенчатый винтовой компрессор Dali EN-1 | Двухступенчатый винтовой компрессор Dali EN-3 | Двухступенчатый винтовой компрессор Dali EN-3
компрессор для лазерного станка по металлу;too_few;1;webmaster;8;всего 8 результатов;Компрессор винтовой ZEGA SEL 15-16 | Компрессор винтовой ZEGA SEL 22-16 | Винтовой компрессор ZEGA SELD 37-20
компрессор атлас копко цена;too_few;1;webmaster;5;всего 5 позиций для крупного бренда;Винтовой компрессор Atlas Copco GX3 10P 3 кВт | Винтовой компрессор Atlas Copco GX2 10P 2 кВт | Винтовой компрессор Atlas Copco GX5 10P 5 кВт
atlas copco компрессор цена;too_few;1;webmaster;5;найдено только 5 результатов;Винтовой компрессор Atlas Copco GX3 10P 3 кВт | Винтовой компрессор Atlas Copco GX2 10P 2 кВт | Винтовой компрессор Atlas Copco GX5 10P 5 кВт
Cross Air Borey 11;too_few;1;site;3;только 1 товар модели 11, остальное 170;Бензиновый стационарный компрессор Cross Air  | Дизельный передвижной компрессор Cross Air Bo | Дизельный стационарный компрессор Cross Air B
купить рефрижераторный осушитель воздуха;too_few;1;webmaster;1;всего 1 результат вместо многих;Рефрижераторный осушитель ARIACOM MPiT 1400
купить рефрижераторный осушитель;too_few;1;webmaster;1;только 1 результат;Рефрижераторный осушитель ARIACOM MPiT 1400
компрессор винтовой с осушителем купить;too_few;1;webmaster;1;Только 1 товар при общем запросе;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
рефрижераторный осушитель сжатого воздуха купить;too_few;1;webmaster;1;только 1 результат;Рефрижераторный осушитель ARIACOM MPiT 1400
компрессор атлас копко купить;too_few;2;webmaster;1;только 1 результат для крупного бренда;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
купить винтовой компрессор с ресивером;too_few;0;webmaster;1;только 1 результат, не ясно наличие ресивера;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
компрессор atlas copco купить;too_few;1;webmaster;1;всего 1 результат по популярному бренду;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
