"url";"отрасль (раздел)";"сфера";"производитель";"оборудование";"заказчик";"город";"дата";"название (h1)"
"https://prokompressor.ru/projects/avtoservis/abac-granmoto/";"avtoservis";"Автосервис";"Abac";"винтовой компрессор ""ABAC"" SPINN 2.2-10-200";"ООО ""Гранмото""";"Москва";"ноябрь 2020 г.";"Винтовой компрессор ""ABAC"" SPINN 2.2-10-200"
"https://prokompressor.ru/projects/avtoservis/radar-abac/";"avtoservis";"Автосервис";"Abac";"винтовой компрессор ""ABAC"" SPINN 3.0-10-200";"ООО ""Радар-Южный""";"Иваново";"март 2021 г.";"Винтовой компрессор ""ABAC"" SPINN 3.0-10-200"
"https://prokompressor.ru/projects/avtoservis/airpol-nosorev/";"avtoservis";"Автосервис";"Airrus";"винтовой компрессор ""AIRRUS"" K 7/10";"ИП Носорев";"Курская область";"октябрь 2021 г.";"Винтовой компрессор ""AIRRUS"" K 7/10 для СТО"
"https://prokompressor.ru/projects/avtoservis/berg-traktodetal/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-11/10Р";"ООО ""ТРАКТОРОДЕТАЛЬ ГРУПП""";"Санкт-Петербург";"июнь 2022 г.";"Винтовой компрессор ""Berg"" ВК-11/10Р для ООО ""ТРАКТОРОДЕТАЛЬ ГРУПП"""
"https://prokompressor.ru/projects/avtoservis/berg-efremov/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-11/8 Р";"ИП Ефремов";"Чувашская Республика";"май 2022 г.";"Винтовой компрессор ""Berg"" ВК-11/8 Р для ИП Ефремов"
"https://prokompressor.ru/projects/avtoservis/berg-rebyagina/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-11Р 10";"ИП Ребягина";"Улан-Удэ";"август 2022 г.";"Винтовой компрессор ""Berg"" ВК-11Р 10 для ИП Ребягина"
"https://prokompressor.ru/projects/avtoservis/berg-agro-garant/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-11Р-500/12";"ООО ""АГРО-ГАРАНТ""";"Оренбург";"октябрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-11Р-500/12 для ООО ""АГРО-ГАРАНТ"""
"https://prokompressor.ru/projects/avtoservis/berg-tsvetresh/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15-500/10";"ООО ""Цветовое решение""";"Красноярск";"апрель 2025 г.";"Винтовой компрессор ""Berg"" ВК-15-500/10 для ООО ""Цветовое решение"""
"https://prokompressor.ru/projects/avtoservis/tehnotseh-berg/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15/10 Р и вертикальный ресивер ""Remeza"" РВ 900.10.00";"ООО ""ТехноЦех""";"Брянск";"октябрь 2021 г.";"Винтовой компрессор ""Berg"" ВК-15/10 Р и вертикальный ресивер ""Remeza"" РВ 900.10.00 для ООО ""ТехноЦех"""
"https://prokompressor.ru/projects/avtoservis/berg-spetsteh/";"avtoservis";"Автосервис";"Berg";"винтовой компрессор ""Berg"" ВК-15/12 Р";"ООО ""Спецтех""";"Свободный";"январь 2022 г.";"Винтовой компрессор ""Berg"" ВК-15/12 Р для ООО ""Спецтех"""
