"колонка";"свойство";"заполнено (все товары)";"% всех";"заполнено (компрессоры)";"% компрессоров";"уникальных значений";"топ-5 значений"
"IE_XML_ID";"внешний код";"27477";"100.0";"20054";"100.0";"3000+";"ee6ce43b-d958-11ef-98a6-50ebf681cfa0 (1); bef7ce89-3c60-11f1-98d7-50ebf681cfa0 (1); 621fde4c-5be4-11e7-bd89-50e5493a5dd7 (1); 14c62c7f-0706-11e8-80d3-50e5493a5dd7 (1); d1d949bd-677c-11e7-987e-50e5493a5dd7 (1)"
"IE_NAME";"название";"27477";"100.0";"20054";"100.0";"3000+";"Клапан предохранительный 3/4 (1); 8000H PREVENTIVE MAINTENANCE KIT B (1); Cепаратор центробежный (циклонный) ""Remeza"" WS001 (1); Cепаратор центробежный (циклонный) ""Remeza"" WS002 (1); Cепаратор центробежный (циклонный) ""Remeza"" WS003 (1)"
"IE_ID";"ID";"27477";"100.0";"20054";"100.0";"3000+";"296654 (1); 325308 (1); 287165 (1); 286922 (1); 288892 (1)"
"IE_ACTIVE";"активность";"27477";"100.0";"20054";"100.0";"2";"Y (27465); N (12)"
"IE_ACTIVE_FROM";"активен с";"0";"0.0";"0";"0.0";"0";""
"IE_ACTIVE_TO";"активен до";"0";"0.0";"0";"0.0";"0";""
"IE_PREVIEW_PICTURE";"фото анонса";"24513";"89.2";"17218";"85.9";"3000+";"/upload/iblock/2ae/f25azhgnlc95ziw2k3tcbegwr4d6zhww.jpeg (1); /upload/iblock/b22/b0tpxkqh30x2kk1o52q0ef9lnys98eim.jpeg (1); /upload/iblock/318/xpio39m2kpm242oq78do5fhiloocr53o.jpeg (1); /upload/iblock/16b/10dzll9q7ctnb7b5ytyxyoi9u8731pyl.jpeg (1); /upload/iblock/1f3/neb4nnymbh7k0qnxcx6rt2posos69306.jpeg (1)"
"IE_PREVIEW_TEXT";"текст анонса";"24635";"89.7";"17257";"86.1";"3000+";"Адсорбционный осушитель Pneumatech PB 210 HE (6000 л/мин, 4-14,5 бар, R 1 1/2, 3 (2); Адсорбционный осушитель Pneumatech PB 320 HE (9000 л/мин,    4-14,5 бар, R 1 1/2 (2); Адсорбционный осушитель Pneumatech PB 390 HE (11100 л/мин, 4-14,5 бар, R 1 1/2,  (2); Адсорбционный осушитель Pneumatech PB 530 HE (15000 л/мин, 4-14,5 бар, R2, 600 к (2); Адсорбционный осушитель Pneumatech PB 635 HE (18000 л/мин, 4-14,5 бар, R2, 650 к (2)"
"IE_PREVIEW_TEXT_TYPE";"тип анонса";"27477";"100.0";"20054";"100.0";"2";"text (27393); html (84)"
"IE_DETAIL_PICTURE";"детальное фото";"27320";"99.4";"19998";"99.7";"3000+";"/upload/iblock/bcc/jsyarmv91b0c9bxdhfl3qfe58wwlb0w4.jpeg (1); /upload/iblock/25f/ad18sk4xb0wiei9zjotgvi421y669538.jpeg (1); /upload/iblock/e11/9p9ff5q8werkvbvwr9x0p3kw7hql3vgt.jpeg (1); /upload/iblock/f70/7ocsth9bkr1c6jy3qbqi0jbkpmhn2djr.jpeg (1); /upload/iblock/989/mlybvq0qkmei1eyho5z814g59udhd7wl.jpeg (1)"
